Email,   Address,      City,Zipcode,  Type,  Team,  Lastinspectioncompleted,  Fullbathroom,  Halfbathrooms,Features,Allfeatures
Test1,"  	        ""Qasd""","      ""123-45-6789""",40.5,  Type,  Team,  Lastinspectioncompleted,49.5,"         ""D-""",Features,Allfeatures
Alfred,"           ""University""","    ""123-12-1234""",41.4,  Type,  Team,  Lastinspectioncompleted,48.5,"         ""D+""",Features,Allfeatures
Test2," 	       ""Gramma""","       ""567-89-0123""",41.5,  Type,  Team,  Lastinspectioncompleted,44.5,"         ""C""",Features,Allfeatures
Android,"       ""Electric""","        ""087-65-4321""",42.5,  Type,  Team,  Lastinspectioncompleted,47.5,"         ""B-""",Features,Allfeatures
Bumpkin,"     ""Fred""","             ""456-78-9012""",43.5,  Type,  Team,  Lastinspectioncompleted,45.5,"         ""A-""",Features,Allfeatures
Rubble,"        ""Betty""","            ""234-56-7890""",44.5,  Type,  Team,  Lastinspectioncompleted,46.5,"         ""C-""",Features,Allfeatures
Noshow,"      ""Cecil""","            ""345-67-8901""",45.5,  Type,  Team,  Lastinspectioncompleted,43.5,"         ""F""",Features,Allfeatures
Buff,"              ""Bif""","                ""632-79-9939""",46.3,  Type,  Team,  Lastinspectioncompleted,50.5,"        ""B+""",Features,Allfeatures
Airpump,"      ""Andrew""","      ""223-45-6789""",49.4,  Type,  Team,  Lastinspectioncompleted,83.5,"       ""A""",Features,Allfeatures
Backus,"       ""Jim""","              ""143-12-1234""",48.6,  Type,  Team,  Lastinspectioncompleted,97.5,"       ""A+""",Features,Allfeatures
Carnivore,"   ""Art""","               ""565-89-0123""",44.7,  Type,  Team,  Lastinspectioncompleted,40.5,"       ""D+""",Features,Allfeatures
Dandy,"         ""Jim""","              ""087-75-4321""",47.5,  Type,  Team,  Lastinspectioncompleted,45.5,"       ""C+""",Features,Allfeatures
Elephant,"     ""Ima""","              ""456-71-9012""",45.5,  Type,  Team,  Lastinspectioncompleted,77.5,"       ""B-""",Features,Allfeatures
Franklin,"      ""Benny""","        ""234-56-2890""",50.3,  Type,  Team,  Lastinspectioncompleted,90.5,"       ""B-""",Features,Allfeatures
George,"        ""Boy""","            ""345-67-3901""",40.4,  Type,  Team,  Lastinspectioncompleted,4.5,"       ""B""",Features,Allfeatures
Heffalump,"  ""Harvey""","      ""632-79-9439""",30.5,  Type,  Team,  Lastinspectioncompleted,40.5,"      ""C""",Features,Allfeatures
